time,tweet,reply_to,likes,source,has_strsearch,is_retweet
2021-06-03 06:50:02, 🤣,WholeMarsBlog,984,Twitter for iPhone,False,False
2021-06-03 06:47:53,RT : Falcon 9 and Dragon went vertical on the pad last night ahead of tomorrow’s launch → https://t.co/bJFjLCzWdK https://t.co/8KDby…,,0,Twitter for iPhone,False,True
2021-06-03 02:39:15,"RT : Beginning early next year, SpaceX will carry four  crews to and from the  → https://t.co/yq6mryOFeS h…",,0,Twitter for iPhone,False,True
2021-06-03 01:26:00, Yup,PPathole,18016,Twitter for iPhone,False,False
2021-06-02 11:59:04," Thanks :) Seriously, it was so insane! Fud still happening a little, but doesn’t resonate when enoug… https://t.co/PXei3kKxkf",teslaownersSV,8461,Twitter for iPhone,False,False
2021-06-02 11:53:02,  🤔,28delayslater,4417,Twitter for iPhone,False,False
2021-06-02 11:52:08, Some quarks &amp; a lepton walk into a bar …,Neuro_Skeptic,2431,Twitter for iPhone,False,False
2021-06-02 11:48:02, Things get weird at the driver level,eamokeane,2171,Twitter for iPhone,False,False
2021-06-02 11:34:02," That’s where we get most of our lithium. Also, whereas phone batteries make heavy use of cobalt in c… https://t.co/Nt0Eu3qVZe",WholeMarsBlog,17101,Twitter for iPhone,False,False
2021-06-02 09:57:18,  https://t.co/porMpnWtuk,Teslarati,15652,Twitter for iPhone,False,False
2021-06-02 09:51:34, We went public for $3.40/share!,teslaownersSV,19141,Twitter for iPhone,False,False
2021-06-02 08:36:44,  Science-fiction should not be fiction forever!,PPathole,25731,Twitter for iPhone,False,False
2021-06-02 08:02:15,    Might take a few kicks at the can before we catch the rocket haha,ErcXspace,7351,Twitter for iPhone,False,False
2021-06-02 07:59:59," Our biggest challenge is supply chain, especially microcontroller chips. Never seen anything like it.… https://t.co/ZYsj5YfVEw",p_ferragu,7883,Twitter for iPhone,False,False
2021-06-02 07:05:02,Found this pic of me as a child https://t.co/hUEKluRAdP,,318833,Twitter for iPhone,False,False
2021-06-02 04:11:50,  Sigh,Teslarati,29160,Twitter for iPhone,False,False
2021-06-01 23:54:20,  When I visit Japan later this year,dogeofficialceo,12286,Twitter for iPhone,False,False
2021-06-01 23:46:18, Baby Shark crushes all! More views than humans. https://t.co/48Ol3ZzhjP,SouthPark,9106,Twitter for iPhone,False,False
2021-06-01 23:28:02,   … https://t.co/Nknrxkb0RV,CoinDesk,30745,Twitter for iPhone,False,False
2021-06-01 23:23:53,RT : Falcon 9 and Dragon roll out to Launch Complex 39A ahead of Dragon's 22nd cargo resupply mission to the  https://…,,0,Twitter for iPhone,False,True
2021-06-01 05:59:37, Sounds kinda fun,itsALLrisky,23329,Twitter for iPhone,False,False
2021-06-01 05:57:53, OG Smartwatch,ValaAfshar,56056,Twitter for iPhone,False,False
2021-06-01 05:45:00," Yeah, new Model S &amp; X have PS5 level entertainment computing power",WorldofTesla1,24201,Twitter for iPhone,False,False
2021-06-01 05:42:40, Nice,DocumentingBTC,8625,Twitter for iPhone,False,False
2021-05-31 22:34:01,   Agreed,jeremyjudkins,3812,Twitter for iPhone,False,False
2021-05-31 22:32:18," Making this work has been / still is super difficult, but it’s a revolution in car body design &amp; prod… https://t.co/pzQoUuMF4v",Model3Owners,25303,Twitter for iPhone,False,False
2021-05-31 22:26:25,  Moving lumbar was removed only in front passenger seat of 3/Y (obv not there in rear seats). Lo… https://t.co/sli6YLDDW3,Ryanth3nerd,5189,Twitter for iPhone,False,False
2021-05-31 04:28:09,"    Pretty close. Inner ring is closer to center 3, as all 12 gimbal t… https://t.co/9IGXh7oyE5",ErcXspace,19206,Twitter for iPhone,False,False
2021-05-30 21:24:28,          🤣🤣,hiddin2urleft,38236,Twitter for iPhone,False,False
2021-05-30 19:42:22,Ocean spaceport Deimos is under construction for launch next year https://t.co/WJQka399c7,,124633,Twitter for iPhone,False,False
2021-05-30 19:40:28,"RT : One year ago today, SpaceX launched its first human spaceflight mission with  astronauts  and  on…",,0,Twitter for iPhone,False,True
2021-05-30 17:13:25,  Sehnsucht,RenataKonkoly,4546,Twitter for iPhone,False,False
2021-05-30 16:56:50, Danke!!,Tesmanian_com,19021,Twitter for iPhone,False,False
2021-05-30 05:48:56,"     Actually, so-called “secondary” structure is the… https://t.co/DVPeARQ1TJ",PPathole,5635,Twitter for iPhone,False,False
2021-05-30 01:29:03,  True,RationalEtienne,23030,Twitter for iPhone,False,False
2021-05-30 01:23:59,  250M years is only ~6% increase in age of Earth,UniverCurious,12801,Twitter for iPhone,False,False
2021-05-30 00:48:56,     Raptor production is approaching one every 48 hours,Erdayastronaut,15401,Twitter for iPhone,False,False
2021-05-29 22:03:29,"    29 Raptors on Booster initially, rising to 32 later this ye… https://t.co/nynT8qgKc8",nextspaceflight,7922,Twitter for iPhone,False,False
2021-05-29 19:30:28, Great idea,blockfolio,37473,Twitter for iPhone,False,False
2021-05-29 05:54:24, 🔥🔥,westcoastbill,10875,Twitter for iPhone,False,False
